Nom Prénom;métier;source 
Gérald Bloncourt; Poète;spla
Gérard Chenet;Ecrivain/ne;spla
Gérard Étienne;Ecrivain/ne;spla
Gérard Étienne; Poète;spla
Gesner Jean Gilles;Ecrivain/ne;spla
Giscard Bouchotte;Réalisateur/trice;spla
Giscard Bouchotte; Critique d'art;spla
Guetty Felin;Réalisateur/trice;spla
Guetty Felin; Producteur/trice;spla
Guetty Felin; Scénariste;spla
Guetty Felin; Producteur/trice délégué/e;spla
Guetty Felin; Distributeur/trice;spla
Haveson Florvil;Ecrivain/ne;spla
Haveson Florvil; Poète;spla
Haveson Florvil; Rédacteur/trice en chef;spla
Henry Kenol;Ecrivain/ne;spla
Hervé Fanini-Lemoin;Ecrivain/ne;spla
Hervé Fanini-Lemoin; Editeur/trice;spla
Ida Faubert;Ecrivain/ne;spla
Ida Faubert; Poète;spla
Jacqueline Beaugé Rosier;Ecrivain/ne;spla
Jacqueline Beaugé Rosier; Poète;spla
Jacqueline Scott Lemoine;Ecrivain/ne;spla
Jacqueline Scott Lemoine; Acteur/trice;spla
Jacqueline Scott Lemoine; Poète;spla
Jacqueline Scott Lemoine; Universitaire;spla
Jacques Stephen Alexis;novelists;VIAF
Jacques Stephen Alexis;ecrivains;VIAF
Jacques Stephen Alexis;Ecrivain/ne;spla
Jean James ESTEPHA;Professeur;spla
Jean James ESTEPHA; Psychologue;spla
Jeanie Bogart;Ecrivain/ne;spla
Jeanie Bogart; Designer;spla
Jean André Constant;Ecrivain/ne;spla
Jean André Constant; Poète;spla
Jean-Baptiste Cinéas;Ecrivain/ne;spla
Jean Billy Mondesir ;Ecrivain/ne;spla
Jean Claude Charles;journalists;VIAF
Jean Claude Charles;journalistes;VIAF
Jean Claude Charles;authors;VIAF
Jean Claude Charles;Ecrivain/ne;spla
Jean Claude Charles; Poète;spla
Jean Claude Fignolé;Ecrivain/ne;spla
Jean-Durosier Desrivières;Dramaturge;spla
Jean-Durosier Desrivières; Poète;spla
Jean-Durosier Desrivières; Journaliste;spla
Jean Emmanuel Jacquet;Critique d'art;spla
Jean Emmanuel Jacquet; Animateur/trice;spla
Jean Emmanuel Jacquet; Chargé/e de communication;spla
Jean Euphèle Milcé;authors black;VIAF
Jean Euphèle Milcé;Ecrivain/ne;spla
Jean Euphèle Milcé; Poète;spla
Jean Fernand Brierre;Ecrivain/ne;spla
Jean Fernand Brierre; Poète;spla
Jean Florival;Journaliste;spla
Jean-Marie Bourjolly;Ecrivain/ne;spla
Jean Métellus;neurologists;VIAF
Jean Métellus;college teachers;VIAF
Jean Métellus;authors black;VIAF
Jean Métellus;Ecrivain/ne;spla
Jean-Pierre Brax;Réalisateur/trice;spla
Jean-Pierre Brax; Ecrivain/ne;spla
Jean-Pierre Brax; Journaliste;spla
Jean-Pierre Brax; Scénariste;spla
Jean-Pierre Brax; Editeur/trice;spla
Jean Price Mars;physicians;VIAF
Jean Price Mars;ethnologists;VIAF
Jean Price Mars;diplomats;VIAF
Jean Price Mars;authors;VIAF
Jean Robert Léonidas;professeurs enseignement superieur;VIAF
Jean Robert Léonidas;endocrinologists;VIAF
Jean Robert Léonidas;endocrinologistes;VIAF
Jean Robert Léonidas;authors black;VIAF
Jean Robert Léonidas;Ecrivain/ne;spla
Jean Robert Léonidas; Pianiste/claviériste;spla
Jean Robert Léonidas; Saxophoniste;spla
Jean Robert Léonidas; Poète;spla
Jean Watson Charles;Ecrivain/ne;spla
Jean Watson Charles; Poète;spla
Jean Watson Charles; Chercheur/se;spla
Jenner Desroches;Chercheur/se;spla
Jessica Fièvre;Ecrivain/ne;spla
Joanne Hyppolite;Ecrivain/ne;spla
Joëlle Constant;Dramaturge;spla
Joëlle Constant; Poète;spla
Joël Des Rosiers;Poète;spla
Johnie Hilaire;Ecrivain/ne;spla
Johnie Hilaire; Etudiant/e;spla
Josaphat-Robert Large;Photographe;spla
Josaphat-Robert Large; Ecrivain/ne;spla
Josaphat-Robert Large; Acteur/trice;spla
Josaphat-Robert Large; Poète;spla
Joseph-Anténor Firmin;Ecrivain/ne;spla
Joseph-Anténor Firmin; Journaliste;spla
Jules Emmanuel Bellerice ;Ecrivain/ne;spla
Jules Emmanuel Bellerice ; Bibliothécaire;spla
Ketline Adodo;Ecrivain/ne;spla
Ketline Adodo; Poète;spla
Kettly Mars;poets;VIAF
Kettly Mars;novelists;VIAF
Kettly Mars;Ecrivain/ne;spla
Laënnec Hurbon;Ecrivain/ne;spla
Laënnec Hurbon; Philosophe;spla
Laënnec Hurbon; Sociologue;spla
Laënnec Hurbon; Anthropologue;spla
Lawrence Hill;Ecrivain/ne;spla
Léon Laleau;politicians;VIAF
Léon Laleau;ecrivains$hommes politiques;VIAF
Léon Laleau;diplomats;VIAF
Léon Laleau;authors;VIAF
Leslie Gaelle Nerette;Peintre;spla
Leslie Gaelle Nerette; Designer;spla
Leslie Gaelle Nerette; Graphiste;spla
Leslie Gaelle Nerette; Créateur en bijoux;spla
Lewis Ampidu Clorméus;Chercheur/se;spla
Louis Joseph Janvier;Ecrivain/ne;spla
Louis Philippe Dalembert;spisovatele;VIAF
Louis Philippe Dalembert;journalists;VIAF
Louis Philippe Dalembert;basnici;VIAF
Louis Philippe Dalembert;authors;VIAF
Louis Philippe Dalembert;actors;VIAF
Louis Philippe Dalembert;Ecrivain/ne;spla
Lucien Lemoine;Metteur/se en scène;spla
Lucien Lemoine; Acteur/trice;spla
Lyonel Trouillot;journalists;VIAF
Lyonel Trouillot;college teachers;VIAF
Lyonel Trouillot;literature teachers;VIAF
Lyonel Trouillot;authors black;VIAF
Lyonel Trouillot;authors;VIAF
Makenzy Orcel;authors;VIAF
Marcien Constant;Dramaturge;spla
Marcien Constant; Poète;spla
Marc Exavier;Ecrivain/ne;spla
Marc Exavier; Poète;spla
Marc Exavier; Journaliste;spla
Marc Léo Laroche;Ecrivain/ne;spla
Margaret Mitchell Armand;Ecrivain/ne;spla
Marie Alice Théard;women authors black;VIAF
Marie Célie Agnant;women authors black;VIAF
Marie Célie Agnant;ucitelky;VIAF
Marie Célie Agnant;spisovatelky;VIAF
Marie Célie Agnant;basnirky;VIAF
Marie Célie Agnant;Ecrivain/ne;spla
Marie Soeurette Mathieu;journalistes;VIAF
Marie-Thérèse Colimon Hall;Ecrivain/ne;spla
Mario Blaise;Ecrivain/ne;spla
Marlène Rigaud Apollon;Ecrivain/ne;spla
Marlène Rigaud Apollon; Poète;spla
Marlène Rigaud Apollon; Professeur;spla
Martine Milard;Poète;spla
Massillon Coicou;Ecrivain/ne;spla
Massillon Coicou; Dramaturge;spla
Massillon Coicou; Poète;spla
Maude Heurtelou;Ecrivain/ne;spla
Maude Heurtelou; Poète;spla
Maude Heurtelou; Chercheur/se;spla
Maurice Casséus;Ecrivain/ne;spla
Maximilien Laroche;Ecrivain/ne;spla
Max Dorsinville;Ecrivain/ne;spla
Max Dorsinville; Traducteur/trice;spla
Mayotte Capécia;Ecrivain/ne;spla
Mehdi Chalmers;Professeur;spla
Michele Cazanove;Ecrivain/ne;spla
Michel Monnin;Ecrivain/ne;spla
Mimi Barthélémy;entertainers;VIAF
Mimi Barthélémy;authors;VIAF
Mimi Barthélémy;Ecrivain/ne;spla
Mimi Barthélémy; Acteur/trice;spla
Mimi Barthélémy; Dramaturge;spla
Mimi Barthélémy; Conteur/se;spla
Mimi Barthélémy; Chercheur/se;spla
Miriam Neptune;Bibliothécaire;spla
Miriam Neptune; Formateur/trice;spla
Mona Guérin;Dramaturge;spla
Mona Guérin; Poète;spla
Nadine Magloire;Ecrivain/ne;spla
Nassur Attoumani;Ecrivain/ne;spla
Nirvah Desinor;Ecrivain/ne;spla
Obrillant Damus;Ecrivain/ne;spla
Obrillant Damus; Chercheur/se;spla
