Nom Prénom;source;lieu 
Rhoddy Attilus;spla;Haiti
Richardson Dorvil;spla;Haiti
Rodianco Fils Azor;spla;Haiti
Roger Dorsinville;spla;Haiti
Roland Morisseau;spla;Haiti
Roland Morisseau;BNF;http://id.loc.gov/vocabulary/countries/ht
Roland Paret;BNF;http://id.loc.gov/vocabulary/countries/ht
Roussan Camille;BNF;http://id.loc.gov/vocabulary/countries/ht
Saint-John Kauss;spla;Haiti
Serge Legagneur;spla;Haiti
Soeuf Elbadawi;spla;Comores
Sophia Désir;spla;Haiti
Stanley Péan;BNF;http://id.loc.gov/vocabulary/countries/xxc
Stéphane Martelly;spla;Haiti
Stephen Alexis;spla;Haiti
Suzanne Comhaire-Sylvain;spla;Haiti
Syto Cavé;spla;Haiti
Verly Dabel;spla;Haiti
Voegeli Juste-Constant;spla;Haiti
Wébert CHARLES ;spla;Haiti
WInnie Hugot Gabriel Duvil;spla;Haiti
Yanick François;spla;Haiti
Yanick Jean;spla;Haiti
Yanick Lahens;spla;Haiti
Yanick Lahens;BNF;http://id.loc.gov/vocabulary/countries/ht
