Nom Prenom/source/relation 
Alex_Laguerre/ile_en_ile_auto/Baron_Samedi
Alix_Renaud/ile_en_ile_auto/Alain_Beaulieu
Alix_Renaud/ile_en_ile_auto/Stanley_Pean
Alix_Renaud/ile_en_ile_auto/Jean_Desy
Alix_Renaud/ile_en_ile_auto/Jeannot_Turcotte
Alix_Renaud/ile_en_ile_auto/Michel_Borgeat
Alix_Renaud/ile_en_ile_auto/Ralph_Cote
Alix_Renaud/ile_en_ile_auto/Michelle_Lavallee
Antenor_Firmin/ile_en_ile_auto/Yves_Chemla
Anthony_Phelps/VIAF/Klang_Gary
Anthony_Phelps/VIAF/Rudman_Sean
Anthony_Phelps/VIAF/Haas_Elsie
Anthony_Phelps/VIAF/Roumain_Jacques
Anthony_Phelps/VIAF/Piazza_Francois
Anthony_Phelps/VIAF/Phelps_Anthony
Anthony_Phelps/VIAF/Ollivier_Emile
Anthony_Phelps/VIAF/Martial_Jacques
Anthony_Phelps/VIAF/Chemla_Yves
Anthony_Phelps/VIAF/Litradukt_Literatureditionen
Anthony_Phelps/VIAF/Schmutte_Ingeborg
Anthony_Phelps/VIAF/Trouillot_Lyonel
Anthony_Phelps/ile_en_ile_auto/Helene_Maia
Antoine_Innocent/ile_en_ile_auto/Dieulermesson_Petit_Frere
Antoine_Innocent/ile_en_ile_auto/Massillon_Coicou
Boisrond_Tonnerre/ile_en_ile_auto/Jacques_Dessalines
Boisrond_Tonnerre/ile_en_ile_auto/Louis_Boisrond
Bonel_Auguste/ile_en_ile_auto/Tahar_Bekri
Carl_Brouard/ile_en_ile_auto/Rafael_Brouard
Carl_Brouard/ile_en_ile_auto/Cleomie_Gaetjens
Carl_Brouard/ile_en_ile_auto/Erima_Guignard
Cleante_Valcin/VIAF/Wiener_Jacqueline
Cleante_Valcin/VIAF/Voltaire_Marcelin_MicheLe
Cleante_Valcin/VIAF/Trouillot_EVelyne
Cleante_Valcin/VIAF/TheArd_Marie_Alice
Cleante_Valcin/VIAF/Tavernier_Janine
Cleante_Valcin/VIAF/SureNa_Elsie
Cleante_Valcin/VIAF/Sampeur_Virginie
Cleante_Valcin/VIAF/Rigaud_Apollon_MarleNe
Cleante_Valcin/VIAF/Dumas_Pierre_Raymond
Cleante_Valcin/VIAF/Clermont_Pean_Paula
Cleante_Valcin/ile_en_ile_auto/Mme_Virgile_Valcin
Clement_Magloire_Saint_Aude/ile_en_ile_auto/Andre_Breton
Coutecheve_Lavoie_Aupont/ile_en_ile_auto/Lyonel_Trouillot
Coutecheve_Lavoie_Aupont/ile_en_ile_auto/Marc_Exavier
Coutecheve_Lavoie_Aupont/ile_en_ile_auto/Jacques_Gougues
Coutecheve_Lavoie_Aupont/ile_en_ile_auto/Alix_Emera
Coutecheve_Lavoie_Aupont/ile_en_ile_auto/Berard_Cenatus
Dantes_Bellegarde/VIAF/Sylvain_Georges
Dantes_Bellegarde/VIAF/MeNos_Solon
Dantes_Bellegarde/VIAF/Duval_A
