Nom Prénom$source$langue 
Maude Heurtelou$spla$French
Maurice Casséus$spla$French
Maximilien Laroche$spla$French
Max Dorsinville$spla$French
Mayotte Capécia$spla$French
Mehdi Chalmers$spla$French
Michele Cazanove$spla$French
Michel Monnin$spla$French
Mimi Barthélémy$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Mimi Barthélémy$spla$French
Miriam Neptune$spla$French
Mona Guérin$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Mona Guérin$spla$French
Nadine Magloire$spla$French
Nassur Attoumani$spla$French
Nirvah Desinor$spla$French
Obrillant Damus$spla$French
Oswald Durand$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Oswald Durand$spla$French
Paul Laraque$BNF$http://id.loc.gov/vocabulary/iso639-2/cpf
Paul Laraque$spla$French
Peter Frisch$spla$French
Pierre Clitandre$spla$French
Rafaël Lucas$spla$French
Rassoul Labuchin$BNF$http://id.loc.gov/vocabulary/iso639-2/cpf
Rassoul Labuchin$spla$French
Raymond Chassagne$spla$French
René Bélance$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
René Bélance$spla$French
René Depestre$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
René Depestre$spla$French
René Philoctète$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Rhoddy Attilus$spla$French
Richardson Dorvil$spla$French
Rodianco Fils Azor$spla$French
Roger Dorsinville$spla$French
Roland Morisseau$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Roland Morisseau$spla$French
Roland Paret$BNF$http://id.loc.gov/vocabulary/iso639-2/cpf
Roussan Camille$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Saint-John Kauss$spla$French
Serge Legagneur$spla$French
Soeuf Elbadawi$spla$French
Sophia Désir$spla$French
Stanley Péan$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Stéphane Martelly$spla$French
Stephen Alexis$spla$French
Suzanne Comhaire-Sylvain$spla$French
Syto Cavé$spla$French
Verly Dabel$spla$French
Voegeli Juste-Constant$spla$French
Wébert CHARLES $spla$French
WInnie Hugot Gabriel Duvil$spla$French
Yanick François$spla$French
Yanick Jean$spla$French
Yanick Lahens$BNF$http://id.loc.gov/vocabulary/iso639-2/fre
Yanick Lahens$spla$French
