Nom Prenom/auteur bio/source 
Alex_Laguerre//spla
Alix_Renaud//ile_en_ile
Anaise_Chavenet//spla
Anderson_Dovilas/Denise Bernhardt/ile_en_ile
Anderson_Dovilas//spla
Andre_Fouad//spla
Angelucci_Manigat//spla
Ange_Bellie_Andou//spla
Antenor_Firmin//ile_en_ile
Anthony_Phelps//ile_en_ile
Antoine_Innocent//ile_en_ile
Antoine_Innocent//spla
Boisrond_Tonnerre//ile_en_ile
Bonel_Auguste//ile_en_ile
Bonel_Auguste//spla
Carl_Brouard//ile_en_ile
Carl_Brouard//spla
Cauvin_Paul//ile_en_ile
Cecile_Accilien//spla
Charles_Edward_Caplife//spla
Christophe_Charles/Josaphat-Robert Large/ile_en_ile
Cleante_Valcin/Nadève Ménard/ile_en_ile
Clement_Magloire_Saint_Aude//spla
Clervoyant_Dieurat//spla
Constant_Jeanty//spla
Coutecheve_Lavoie_Aupont/Josaphat-Robert Large/ile_en_ile
Dantes_Bellegarde//ile_en_ile
Dantes_Bellegarde//spla
Dany_Laferriere//ile_en_ile
Dany_Laferriere//spla
Davertige//ile_en_ile
Davertige//spla
Deita//ile_en_ile
Demesvar_Delorme/Yves Chemla/ile_en_ile
Demesvar_Delorme//spla
Denize_Lauture//ile_en_ile
Denize_Lauture//spla
Dominique_Batraville/Giscard Bouchotte/ile_en_ile
Duccha//ile_en_ile
Edgard_Gousse//spla
Edmond_Laforest/Max Dominique/ile_en_ile
Edmond_Laforest//spla
Edris_Saint_Amand//ile_en_ile
Edwidge_Danticat//ile_en_ile
Edwige_Danticat//spla
Elie_Fleurant//spla
Elodie_Barthelemy//spla
Elsie_Surena//ile_en_ile
Elvire_Maurouard//ile_en_ile
Elvire_Maurouard//spla
Emeline_Michel//spla
Emeric_Bergeaud/Anne Marty/ile_en_ile
Emeric_Bergeaud//spla
Emile_Celestin_Megie//spla
Emile_Ollivier//ile_en_ile
Emile_Roumer/Maximilien Laroche/ile_en_ile
Emilie_Franz/James Noël/ile_en_ile
Emilio_Merisier//spla
Emmanuel_Buriez//spla
Emmanuel_Eugene//spla
Emmelie_Prophete//ile_en_ile
Etzer_Vilaire/Josaphat-Robert Large/ile_en_ile
Evelyne_Trouillot//ile_en_ile
Fabian_Charles//spla
Fabienne_Pasquet/Sarah Davies Cordova/ile_en_ile
Fednel_Alexandre//spla
Felix_Morisseau_Leroy/Rodney Saint-Éloi/ile_en_ile
Felix_Morisseau_Leroy//spla
Fernand_Hibbert/Nadève Ménard/ile_en_ile
Fernand_Hibbert//spla
Franck_Fouche//spla
Franketienne/Jean Jonassaint/ile_en_ile
Franketienne//spla
Frantz_Antoine_Leconte//spla
Frantz_Carly//spla
Frantz_Dominique_Batraville//spla
Franz_Benjamin//ile_en_ile
Franz_Benjamin//spla
Frederic_Marcelin//spla
Fred_Edson_Lafortune/Jean Watson Charles et James Pubien/ile_en_ile
Fred_Edson_Lafortune//spla
Gary_Augustin/Rodney Saint-Éloi/ile_en_ile
Gary_Augustin//spla
Gary_Klang//ile_en_ile
Gary_Klang//spla
Gary_Victor/Yves Chemla/ile_en_ile
Genevieve_Gaillard_Vante//ile_en_ile
Genevieve_Gaillard_Vante//spla
Georges_Anglade/Françoise Naudillon/ile_en_ile
Georges_Anglade//spla
Georges_Castera/Rodney Saint-Éloi/ile_en_ile
Georges_Castera//spla
Georges_Sylvain/Dieulermesson Petit Frère/ile_en_ile
Gerald_Bloncourt/Thomas C. Spear et Joëlle Vitiello/ile_en_ile
Gerald_Bloncourt//spla
Gerard_Chenet/Joëlle Vitiello/ile_en_ile
Gerard_Chenet//spla
Gerard_Etienne/Natania Feuerwerker/ile_en_ile
Gerard_Etienne//spla
Gesner_Jean_Gilles//spla
Giscard_Bouchotte//spla
Guetty_Felin//spla
Guy_Regis//ile_en_ile
Haveson_Florvil//spla
Henry_Kenol//spla
Herve_Fanini_Lemoin//spla
Ida_Faubert//ile_en_ile
Ida_Faubert//spla
Ignace_Nau/Frenand Léger/ile_en_ile
Ileus_Papillon/Dominique Batraville/ile_en_ile
Jacqueline_Beauge_Rosier/Josaphat-Robert Large/ile_en_ile
Jacqueline_Beauge_Rosier//spla
Jacqueline_Scott_Lemoine/Giscard Bouchotte/ile_en_ile
Jacqueline_Scott_Lemoine//spla
Jacques_Rey_Charlier/Marie-Cécile Corvington/ile_en_ile
Jacques_Roumain//ile_en_ile
Jacques_Stephen_Alexis/Yves Chemla/ile_en_ile
Jacques_Stephen_Alexis//spla
James_Noel//ile_en_ile
Janine_Tavernier//ile_en_ile
Jean James_Estepha//spla
Jeanie_Bogart//ile_en_ile
Jeanie_Bogart//spla
Jean_Andre_Constant/Maguy Métellus/ile_en_ile
Jean_Andre_Constant//spla
Jean_Baptiste_Cineas//spla
Jean_Billy_Mondesir//spla
Jean_Claude_Charles//ile_en_ile
Jean_Claude_Charles//spla
Jean_Claude_Fignole/Josaphat-Robert Large/ile_en_ile
Jean_Claude_Fignole//spla
Jean_Durosier_Desrivieres//ile_en_ile
Jean_Durosier_Desrivieres//spla
Jean_Euphele_Milce//ile_en_ile
Jean_Euphele_Milce//spla
Jean_Fernand_Brierre//spla
Jean_Florival//spla
Jean_Marc_Pasquet//ile_en_ile
Jean_Marie_Bourjolly//ile_en_ile
Jean_Max_Calvin//ile_en_ile
Jean_Metellus/Ginette Adamson/ile_en_ile
Jean_Metellus//spla
Jean_Pierre_Brax//spla
Jean_Price_Mars/Gérarde Magloire/ile_en_ile
Jean_Robert_Leonidas//ile_en_ile
Jean_Robert_Leonidas//spla
Jean_Watson_Charles//spla
Jessica_Fievre//ile_en_ile
Jessica_Fievre//spla
Joanne_Hyppolite//spla
Joel_Des_Rosiers//ile_en_ile
Joel_Des_Rosiers//spla
Johnie_Hilaire//spla
Josaphat_Robert_Large//ile_en_ile
Josaphat_Robert_Large//spla
Joseph_Antenor_Firmin//spla
Jules_Emmanuel_Bellerice//spla
Justin_Lherisson//ile_en_ile
Ketline_Adodo//spla
Kettly_Mars/Joëlle Vitiello et Thomas C. Spear/ile_en_ile
Kettly_Mars//spla
Laennec_Hurbon//spla
Lawrence_Hill//spla
Leon_Laleau/Nadève Ménard/ile_en_ile
Leslie_Gaelle_Nerette//spla
Lewis_Ampidu_Clormeus//spla
Lilas_Desquiron/Joëlle Vitiello/ile_en_ile
Louis_Joseph_Janvier//ile_en_ile
Louis_Joseph_Janvier//spla
Louis_Philippe_Dalembert//ile_en_ile
Louis_Philippe_Dalembert//spla
Lucien_Lemoine//spla
Lyonel_Trouillot//ile_en_ile
Maggy_Belin_Biais/Victor Chomentowski/ile_en_ile
