Nom Prénom/ année de naissance/ source année de naissance / année de mort (île en île) / année de mort (viaf) 
Michèle Voltaire Marcelin/////
Michel Monnin/////
Mimi Barthélémy/1939-05-03/VIAF/2013-01-27 00:00:00+00:00/2013-04-27/
Miriam Neptune/////
Mona Guérin/1934-10-09/VIAF/2011-01-30 00:00:00+00:00/2011-12-30/
Nadine Magloire/////
Nassur Attoumani/////
Néhémy Pierre-Dahomey/////
Nirvah Desinor/////
Obrillant Damus/////
Odette Roy Fombrun/////
Oswald Durand/1840-09-17/VIAF//1906-09-17/
Paulette Poujol Oriol///2011-01-11 00:00:00+00:00//
Paul Laraque/1920-09-21/VIAF/2007-01-08 00:00:00+00:00/2007-03-08/
Peter Frisch/////
Philippe Thoby Marcelin/1904-12-11/VIAF//1975-08-13/
Pierre Clitandre/////
Rafaël Lucas/////
Rassoul Labuchin/1939/VIAF///
Raymond Chassagne/////
René Bélance/1915-01-08/VIAF//2004-01-11/
René Depestre/1926-08-29/VIAF/1936-01-01 00:00:00+00:00//
René Philoctète/1932-11-16/VIAF/1995-01-17 00:00:00+00:00/1995-07-17/
Rhoddy Attilus/////
Richardson Dorvil/////
Robert Berrouët Oriol/1929-10-31/VIAF///
Rodianco Fils Azor/////
Rodney Saint Éloi/1963-08-27/VIAF///
Roger Dorsinville///1992-01-12 00:00:00+00:00//
Roland Morisseau/1933-09-22/VIAF//1995-06-29/
Roland Paret/1943-07-26/VIAF/2019-01-26 00:00:00+00:00//
Romel Chery/////
Roussan Camille/1912-08-27/VIAF//1961-12-07/
Saint-John Kauss/////
Serge Legagneur///2017-01-01 00:00:00+00:00//
Soeuf Elbadawi/////
Sophia Désir/////
Stanley Péan/1966-03-31/VIAF///
Stéphane Martelly/////
Stephen Alexis/////
Suzanne Comhaire-Sylvain/////
Syto Cavé/////
Théard Marie Alice/1948-08-03/VIAF///
Verly Dabel/////
Voegeli Juste-Constant/////
Wébert CHARLES /////
Wiener Kerns Fleurimond/////
Willems Édouard/////
WInnie Hugot Gabriel Duvil/////
Yanick François/////
Yanick Jean///2000-01-10 00:00:00+00:00//
Yanick Lahens/1953-12-22/VIAF///
