;wikipage_en;wikipage_fr;wikipage_ht;len_wiki_en;len_wiki_fr;len_wiki_ht;;;;;;wiki_url;len
Q16946633;;;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;#N/A;#N/A;9665;;;;;;https://ht.wikipedia.org/wiki/Dominique_Batraville;2811
Q3165387;https://en.wikipedia.org/wiki/Jean-Fernand_Brierre;https://fr.wikipedia.org/wiki/Jean-Fernand_Brierre;https://ht.wikipedia.org/wiki/Jean-Fernand_Brierre;4620;6832;1151;;;;;;https://en.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3206
Q2938879;https://en.wikipedia.org/wiki/Carl_Brouard;https://fr.wikipedia.org/wiki/Carl_Brouard;https://ht.wikipedia.org/wiki/Carl_Brouard;2448;4515;2066;;;;;;https://fr.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;3944
Q39738159;;;https://ht.wikipedia.org/wiki/Emmanuel_Buriez;#N/A;#N/A;2749;;;;;;https://ht.wikipedia.org/wiki/Jacqueline_Beaug%C3%A9-Rosier;910
Q16946629;;;https://ht.wikipedia.org/wiki/Jean-Max_Calvin;#N/A;#N/A;793;;;;;;https://ht.wikipedia.org/wiki/Ren%C3%A9_B%C3%A9lance;921
Q953097;https://en.wikipedia.org/wiki/Roussan_Camille;https://fr.wikipedia.org/wiki/Roussan_Camille;https://ht.wikipedia.org/wiki/Roussan_Camille;3459;4170;783;;;;;;https://en.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;2835
Q18421742;;;https://ht.wikipedia.org/wiki/Mayotte_Cap%C3%A9cia;#N/A;#N/A;1063;;;;;;https://fr.wikipedia.org/wiki/Dant%C3%A8s_Louis_Bellegarde;8765
Q12888836;;;https://ht.wikipedia.org/wiki/Charles_Edward_Caplife;#N/A;#N/A;1072;;;;;;https://ht.wikipedia.org/wiki/Dant%C3%A8s_Bellegarde;2178
Q12894241;;;https://ht.wikipedia.org/wiki/Maurice_Cass%C3%A9us;#N/A;#N/A;853;;;;;;https://ht.wikipedia.org/wiki/Jules_Bellerice;789
Q12890993;https://en.wikipedia.org/wiki/Georges_Castera;https://fr.wikipedia.org/wiki/Georges_Castera;https://ht.wikipedia.org/wiki/Georges_Castera;2669;16949;3310;;;;;;https://ht.wikipedia.org/wiki/Franz_Benjamin;1714
Q18642641;;;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9;#N/A;#N/A;2519;;;;;;https://fr.wikipedia.org/wiki/Michel_Bertrand_(m%C3%A9decin);3267
Q62577905;https://en.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;;https://ht.wikipedia.org/wiki/Cl%C3%A9ante_Valcin;1831;#N/A;2161;;;;;;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;1932
Q12890350;;https://fr.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;https://ht.wikipedia.org/wiki/%C3%89mile_C%C3%A9lestin-M%C3%A9gie;#N/A;3871;1646;;;;;;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;11209
Q18631149;https://en.wikipedia.org/wiki/Myriam_J._A._Chancy;;;5868;#N/A;#N/A;;;;;;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;1319
Q5111758;https://en.wikipedia.org/wiki/Christophe_Charles;https://fr.wikipedia.org/wiki/Christophe_Philippe_Charles;https://ht.wikipedia.org/wiki/Christophe_Charles;1591;4837;3550;;;;;;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly;685
Q12891856;;;https://ht.wikipedia.org/wiki/Jean-Claude_Charles;#N/A;#N/A;812;;;;;;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;9665
Q12896026;https://en.wikipedia.org/wiki/Raymond_Chassagne;https://fr.wikipedia.org/wiki/Raymond_Chassagne;https://ht.wikipedia.org/wiki/Raymond_Chassagne;1628;4348;1170;;;;;;https://en.wikipedia.org/wiki/Jean-Fernand_Brierre;4620
Q11973505;;;;#N/A;#N/A;#N/A;;;;;;https://fr.wikipedia.org/wiki/Jean-Fernand_Brierre;6832
