etat_civil;wikipage_en;wikipage_fr;wikipage_ht
Kauss Saint-John;#N/A;#N/A;#N/A
Kénol Henry;#N/A;#N/A;#N/A
Kerns Fleurimond Wiener;#N/A;#N/A;https://ht.wikipedia.org/wiki/Wiener_Kerns_Fleurimond
Klang Gary;https://en.wikipedia.org/wiki/Gary_Klang;https://fr.wikipedia.org/wiki/Gary_Klang;https://ht.wikipedia.org/wiki/Gary_Klang
Labuchin Rassoul;#N/A;#N/A;https://ht.wikipedia.org/wiki/Rassoul_Labuchin
Laferrière Dany;https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re;https://fr.wikipedia.org/wiki/Dany_Laferri%C3%A8re;https://ht.wikipedia.org/wiki/Dany_Laferri%C3%A8re
Lafortune Fred Edson;#N/A;https://fr.wikipedia.org/wiki/Fred_Edson_Lafortune;https://ht.wikipedia.org/wiki/Fred_Edson_Lafortune
Laguerre Alex;#N/A;#N/A;https://ht.wikipedia.org/wiki/Alex_Laguerre
Lahens Yanick;https://en.wikipedia.org/wiki/Yanick_Lahens;https://fr.wikipedia.org/wiki/Yanick_Lahens;https://ht.wikipedia.org/wiki/Yanick_Lahens
Laraque Paul;#N/A;https://fr.wikipedia.org/wiki/Paul_Laraque;https://ht.wikipedia.org/wiki/Paul_Laraque
Large Josaphat-Robert;https://en.wikipedia.org/wiki/Josaphat-Robert_Large;https://fr.wikipedia.org/wiki/Josaphat-Robert_Large;https://ht.wikipedia.org/wiki/Josaphat-Robert_Large
Laroche Maximilien;#N/A;https://fr.wikipedia.org/wiki/Maximilien_Laroche;https://ht.wikipedia.org/wiki/Maximilien_Laroche
Laroche Marc Léo;#N/A;#N/A;https://ht.wikipedia.org/wiki/Marc_Laroche
Lauture Denizé;#N/A;#N/A;https://ht.wikipedia.org/wiki/Denize_Lauture
Lavoie Aupont Coutechève;#N/A;https://fr.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;https://ht.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont
Leconte Frantz-Antoine;#N/A;#N/A;https://ht.wikipedia.org/wiki/Frantz_Leconte
Legagneur Serge;#N/A;https://fr.wikipedia.org/wiki/Serge_Legagneur;https://ht.wikipedia.org/wiki/Serge_Legagneur
Léger Dimitri Elias;#N/A;#N/A;#N/A
Lemoine Lucien;#N/A;#N/A;#N/A
Léonidas Jean-Robert;#N/A;https://fr.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas;https://ht.wikipedia.org/wiki/Jean-Robert_L%C3%A9onidas
Lominy J.M.;#N/A;#N/A;#N/A
Lucas Rafaël;#N/A;#N/A;#N/A
Magloire Nadine;https://en.wikipedia.org/wiki/Nadine_Magloire;#N/A;#N/A
Leslie Manigat;https://en.wikipedia.org/wiki/Leslie_Manigat;https://fr.wikipedia.org/wiki/Leslie_Manigat;https://ht.wikipedia.org/wiki/Leslie_Manigat
Manigat Jr. Angelucci;#N/A;#N/A;https://ht.wikipedia.org/wiki/Angelucci_Manigat,_Jr.
Mars Kettly;https://en.wikipedia.org/wiki/Kettly_Mars;https://fr.wikipedia.org/wiki/Kettly_Mars;https://ht.wikipedia.org/wiki/Kettly_Mars
Martelly Stéphane;#N/A;#N/A;https://ht.wikipedia.org/wiki/Stephane_Martelly
Mathieu Marie-Soeurette;https://en.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;https://fr.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu;https://ht.wikipedia.org/wiki/Marie-S%C5%93urette_Mathieu
Mathurin Rodolphe;#N/A;https://fr.wikipedia.org/wiki/Rodolphe_Mathurin;#N/A
Maurouard Elvire;#N/A;#N/A;https://ht.wikipedia.org/wiki/Elvire_Maurouard
Merisier Emilio;#N/A;#N/A;#N/A
Métellus Jean;https://en.wikipedia.org/wiki/Jean_Metellus;https://fr.wikipedia.org/wiki/Jean_M%C3%A9tellus;https://ht.wikipedia.org/wiki/Jean_Metellus
Michel Emeline;https://en.wikipedia.org/wiki/Emeline_Michel;https://fr.wikipedia.org/wiki/%C3%89meline_Michel;https://ht.wikipedia.org/wiki/Emeline_Michel
Michel G. Bertrand;#N/A;#N/A;#N/A
Milard Martine;#N/A;#N/A;#N/A
Milcé Jean-Euphèle;#N/A;https://fr.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;https://ht.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9
Moïse Lenelle;https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;#N/A;https://ht.wikipedia.org/wiki/Lenelle_Mo%C3%AFse
Moïse Serge H.;#N/A;#N/A;#N/A
Mondesir Jean Billy;#N/A;#N/A;#N/A
Monnin Michel;https://en.wikipedia.org/wiki/Michel_Monnin;#N/A;#N/A
Narcisse J.-P. Richard;#N/A;#N/A;#N/A
Neptune Miriam;#N/A;#N/A;#N/A
Nerette Leslie Gaëlle;#N/A;#N/A;#N/A
