;?Nom;Wiki_ID;Nom;normalized;wikipage_fr;wikipage_en;wikipage_ht;wikipage_fr_len;wikipage_ht_len;wikipage_en_len;;;;;;;;;;
28;Jean-Claude Garoute;Q782156;Jean-Claude Garoute;Jean-Claude_Garoute;https://fr.wikipedia.org/wiki/Jean-Claude_Garoute;https://en.wikipedia.org/wiki/Jean-Claude_Garoute;https://ht.wikipedia.org/wiki/Jean-Claude_Garoute_(Tiga);16933,00;1282,00;4029,00;;;;;;;;;;
29;DÃ©ita;Q12889446;Déita;Déita;;;https://ht.wikipedia.org/wiki/D%C3%A9ita;;3185,00;;;;;;;;;;;
30;Rodney Saint-Ã‰loi;Q3438235;Rodney Saint-Ã‰loi;Rodney_Saint-Ã‰Loi;https://fr.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://en.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://ht.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;6059,00;1185,00;2505,00;;;;;;;;;;
31;CoutechÃ¨ve Lavoie Aupont;Q55217112;Coutechève Lavoie Aupont;Coutechève_Lavoie_Aupont;https://fr.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;;https://ht.wikipedia.org/wiki/Coutech%C3%A8ve_Lavoie_Aupont;3693,00;1967,00;;;;;;;;;;;
32;Makenzy Orcel;Q3280752;Makenzy Orcel;Makenzy_Orcel;https://fr.wikipedia.org/wiki/Makenzy_Orcel;;https://ht.wikipedia.org/wiki/Makenzy_Orcel;5100,00;3243,00;;;;;;;;;;;
33;Frantz Carly;;Frantz Carly;Frantz_Carly;;;;;;;;;;;;;;;;
34;Peter Frisch;;Peter Frisch;Peter_Frisch;;;;;;;;;;;;;;;;
35;Emmanuel EugÃ¨ne;Q16946145;Emmanuel Eugène;Emmanuel_Eugène;https://fr.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;;https://ht.wikipedia.org/wiki/Emmanuel_Eug%C3%A8ne;2914,00;1111,00;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;
37;Marc Laroche;Q18341665;Marc Laroche;Marc_Laroche;;;https://ht.wikipedia.org/wiki/Marc_Laroche;;1907,00;;;;;;;;;;;
38;Jan Dominique;Q16946539;Jan Dominique;Jan_Dominique;https://fr.wikipedia.org/wiki/Jan_J._Dominique;;https://ht.wikipedia.org/wiki/Jan_J._Dominique;7197,00;791,00;;;;;;;;;;;
39;Nirvah Desinor;;Nirvah Desinor;Nirvah_Desinor;;;;;;;;;;;;;;;;
40;Fortestson Fenelon;;Fortestson Fenelon;Fortestson_Fenelon;;;;;;;;;;;;;;;;
41;Dominique Batraville;Q16029082;Dominique Batraville;Dominique_Batraville;https://fr.wikipedia.org/wiki/Dominique_Batraville;;https://ht.wikipedia.org/wiki/Dominique_Batraville;3912,00;2811,00;;;;;;;;;;;
42;Winnie Hugot Gabriel Duvil;;Winnie Hugot Gabriel Duvil;Winnie_Hugot_Gabriel_Duvil;;;;;;;;;;;;;;;;
43;Stephane Martelly;Q18636498;Stephane Martelly;Stephane_Martelly;;;https://ht.wikipedia.org/wiki/Stephane_Martelly;;3060,00;;;;;;;;;;;
44;GeneviÃ¨ve Gaillard-VantÃ©;Q12890976;Geneviève Gaillard-Vanté;Geneviève_Gaillard-Vanté;;;https://ht.wikipedia.org/wiki/Genevi%C3%A8ve_Gaillard-Vant%C3%A9;;890,00;;;;;;;;;;;
45;FÃ©lix Morisseau-Leroy;Q1363088;Félix Morisseau-Leroy;Félix_Morisseau-Leroy;https://fr.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://en.wikipedia.org/wiki/F%C3%A9lix_Morisseau-Leroy;https://ht.wikipedia.org/wiki/Felix_Morisseau-Leroy;5539,00;1838,00;8296,00;;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;
47;RenÃ© BÃ©lance;Q18575751;René Bélance;René_Bélance;;;https://ht.wikipedia.org/wiki/Ren%C3%A9_B%C3%A9lance;;921,00;;;;;;;;;;;
48;Leon Laleau;Q3271119;Leon Laleau;Leon_Laleau;https://fr.wikipedia.org/wiki/L%C3%A9on_Laleau;https://en.wikipedia.org/wiki/Leon_Laleau;https://ht.wikipedia.org/wiki/L%C3%A9on_Laleau;4137,00;1442,00;3468,00;;;;;;;;;;
49;Syto CavÃ©;Q18642641;Syto Cavé;Syto_Cavé;;;https://ht.wikipedia.org/wiki/Syto_Cav%C3%A9;;2519,00;;;;;;;;;;;
50;FrankÃ©tienne;Q162778;Frankétienne;Frankétienne;https://fr.wikipedia.org/wiki/Frank%C3%A9tienne;https://en.wikipedia.org/wiki/Frank%C3%A9tienne;https://ht.wikipedia.org/wiki/Frank%C3%A9tienne;13958,00;3218,00;4446,00;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;
52;Jean-Marc Pasquet;Q12891869;Jean-Marc Pasquet;Jean-Marc_Pasquet;;;https://ht.wikipedia.org/wiki/Jean-Marc_Pasquet;;737,00;;;;;;;;;;;
53;Jean-Marie Bourjolly;Q12891871;Jean-Marie Bourjolly;Jean-Marie_Bourjolly;;;https://ht.wikipedia.org/wiki/Jean-Marie_Bourjolly;;685,00;;;;;;;;;;;
54;Franz Benjamin;Q12890785;Franz Benjamin;Franz_Benjamin;;;https://ht.wikipedia.org/wiki/Franz_Benjamin;;1714,00;;;;;;;;;;;
55;Jean-Pierre Brax;Q16946633;Jean-Pierre Brax;Jean-Pierre_Brax;;;https://ht.wikipedia.org/wiki/Jean-Pierre_Brax;;9665,00;;;;;;;;;;;
56;Demesvar Delorme;Q3171668;Demesvar Delorme;Demesvar_Delorme;https://fr.wikipedia.org/wiki/Jean_Demesvar_Delorme;https://en.wikipedia.org/wiki/Demesvar_Delorme;https://ht.wikipedia.org/wiki/Demesvar_Delorme;4377,00;954,00;3583,00;;;;;;;;;;
57;Jean-Durosier DesriviÃ¨res;Q55217155;Jean-Durosier Desrivières;Jean-Durosier_Desrivières;;;;;;;;;;;;;;;;
58;Odette Roy Fombrun;Q18528616;Odette Roy Fombrun;Odette_Roy_Fombrun;;https://en.wikipedia.org/wiki/Odette_Roy_Fombrun;https://ht.wikipedia.org/wiki/Odette_Roy_Fombrun;;4983,00;3812,00;;;;;;;;;;
59;Elodie Barthélémy;;Elodie Barthélémy;Elodie_Barthélémy;;;;;;;;;;;;;;;;
60;Roland Paret;Q18607375;Roland Paret;Roland_Paret;;;https://ht.wikipedia.org/wiki/Roland_Paret;;1186,00;;;;;;;;;;;
61;Jean-EuphÃ¨le MilcÃ©;Q12891863;Jean-Euphèle Milcé;Jean-Euphèle_Milcé;https://fr.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;;https://ht.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;6150,00;2145,00;;;;;;;;;;;
62;RenÃ© PhiloctÃ¨te;Q3045950;René Philoctète;René_Philoctète;https://fr.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;https://en.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;https://ht.wikipedia.org/wiki/Ren%C3%A9_Philoct%C3%A8te;5570,00;3188,00;1651,00;;;;;;;;;;
63;Maude Heurtelou;Q20559271;Maude Heurtelou;Maude_Heurtelou;;;https://ht.wikipedia.org/wiki/Maude_Heurtelou;;8981,00;;;;;;;;;;;
