ID_dataset;etat_civil;nom;prenoms;sexe_genre;spla_pro;ile_en_ile;date_naissance;annee_naissance;lieu_naissance;pays_naissance;date_deces;annee_deces;lieu_deces;pays_deces;pays_nationalite-1;pays_nationalite-2;nationalite;profession_1;profession_2;profession_3;langue_1;langue_2;ORCID;Wiki;ISNI;VIAF;website;wikipage_en;len_wiki_en;wikipage_fr;len_wiki_fr;wikipage_ht;len_wiki_ht
150_AU;Milcé Jean-Euphèle;Milcé;Jean-Euphèle;m;jean-euphele-milce.14143;milce;01/01/1969;1969;;;;;;;Haïti;;haïtienne;écrivain;poète;journaliste;Français;;;Q12891863;0000 0001 2145 6507;101168619;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;6150;https://ht.wikipedia.org/wiki/Jean-Euph%C3%A8le_Milc%C3%A9;2145
152_AU;Moïse Lenelle;Moïse;Lenelle;f;lenelle-moise.39606;;01/01/1980;1980;Port-au-Prince;Haïti;;;;;Haïti;États-Unis;américano-haïtienne;poète;dramaturge;écrivain;Français;Anglais;;Q6522408;0000 0004 2337 5745;305856687;http://www.lenellemoise.com/;https://en.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;4600;#N/A;#N/A;https://ht.wikipedia.org/wiki/Lenelle_Mo%C3%AFse;1500
151_AU;Moïse Serge H.;Moïse;Serge H.;m;serge-h-moise.49711;;;1942;;;;;;;Haïti;Canada;canado-haïtienne;avocat;auteur;;Français;;;;;309817046;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
153_AU;Mondesir Jean Billy;Mondesir;Jean Billy;m;jean-billy-mondesir.38629;;;1984;Cayes;Haïti;;;;;Haïti;;haïtienne;bibliothécaire;auteur;;Créole;Français;;;;8,15E+18;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
154_AU;Monnin Michel;Monnin;Michel;m;;monnin;01/01/1941;1941;;;;;;;Suisse;;suisse;écrivain;;;Français;;;Q6836494;0000 0000 2563 1213;71568689;#N/A;https://en.wikipedia.org/wiki/Michel_Monnin;1205;#N/A;#N/A;#N/A;#N/A
155_AU;Narcisse J.-P. Richard;Narcisse;J.-P. Richard;m;;narcisse;19/06/1961;1961;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;poète;dramaturge;;Créole;Français;;Q55217260;0000 0000 9978 1521 ;148174045;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
156_AU;Neptune Miriam;Neptune;Miriam;f;miriam-neptune.14781;;;;;;;;;;Haïti;;haïtienne;bibliothécaire;formateur;;Français;;;;;;http://neptunemir.github.io/webpage/;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
157_AU;Nerette Leslie Gaëlle;Nerette;Leslie Gaëlle;f;leslie-gaelle-nerette.16703;;;;;;;;;;Haïti;;haïtienne;peintre;;;Français;;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
158_AU;Noël James;Noël;James;m;;noel;01/01/1978;1978;Hinche;Haïti;;;;;Haïti;;haïtienne;écrivain;acteur;poète;Français;;;Q3161308;0000 0000 7851 2357;58863888;#N/A;https://en.wikipedia.org/wiki/James_No%C3%ABl_(poet);2784;https://fr.wikipedia.org/wiki/James_No%C3%ABl;12200;https://ht.wikipedia.org/wiki/James_No%C3%ABl;4469
159_AU;Ollivier Émile;Ollivier;Émile;m;;ollivier;11/02/1940;1940;Port-au-Prince;Haïti;10/11/2002;2002;Montreal;Canada;Haïti;Canada;canado-haïtienne;écrivain;;;Français;;;Q286293;0000 0001 1030 5455;87423596;#N/A;https://en.wikipedia.org/wiki/%C3%89mile_Ollivier;18163;https://fr.wikipedia.org/wiki/%C3%89mile_Ollivier_(homme_politique);22479;#N/A;#N/A
160_AU;Orcel Makenzy;Orcel;Makenzy;m;;orcel;18/09/1983;1983;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;écrivain;;;Français;;;Q3280752;0000 0001 2145 7331;101540165;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Makenzy_Orcel;5100;https://ht.wikipedia.org/wiki/Makenzy_Orcel;3243
161_AU;Papillon Margaret;Papillon;Margaret;f;;papillon_margaret;14/11/1958;1958;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;écrivain;;;Français;;;Q12894055;0000 0000 5160 1149;46871390;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Margaret_Papillon;1104
162_AU;Papillon Iléus;Papillon;Iléus;m;;papillon_ileus;08/06/1984;1984;Haïti;Haïti;;;;;Haïti;;haïtienne;écrivain;poète;journaliste;Français;;;Q55217189;;308246796;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Il%C3%A9us_Papillon;4022;https://ht.wikipedia.org/wiki/Il%C3%A9us_Papillon;3860
163_AU;Paret Roland;Paret;Roland;m;;paret;01/01/1943;1943;Cap-Haïtien;Haïti;;;;;Haïti;;haïtienne;réalisateur;scénariste;;Français;;;Q18607375;0000 0000 7418 7999;77542865;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Roland_Paret;1186
164_AU;Pasquet Fabienne;Pasquet;Fabienne;f;;pasquet_fabienne;22/12/1954;1954;Geneva;Suisse;;;;;Suisse;France;franco-suisse;écrivain;acteur;traducteur;Français;;;Q12890543;0000 0000 3197 2479;69067500;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Fabienne_Pasquet;952
165_AU;Pasquet Jean-Marc;Pasquet;Jean-Marc;m;;pasquet_jean-marc;01/01/1959;1957;;Suisse;;;;;Suisse;;suisse;écrivain;;;Français;;;Q12891869;0000 0000 5622 2383;17339130;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Marc_Pasquet;737
166_AU;Paul Cauvin;Paul;Cauvin;m;;paul;03/03/1942;1942;Port-de-Paix;Haïti;;;;;Haïti;;haïtienne;écrivain;;;Créole;;;Q12888685;0000 0000 7364 2080;12482254;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Cauvin_Paul;829
167_AU;Péan Stanley;Péan;Stanley;m;;pean;31/03/1966;1966;Port-au-Prince;Haïti;;;;;Haïti;Canada;canado-haïtienne;écrivain;;;Français;;;Q3496855;0000 0000 7361 3175;12423959;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Stanley_P%C3%A9an;14474;https://ht.wikipedia.org/wiki/Stanley_P%C3%A9an;3516
168_AU;Phelps Anthony;Phelps;Anthony;m;;phelps;25/08/1928;1928;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;écrivain;dramaturge;poète;Français;;;Q2852916;0000 0001 1047 1891;27080479;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Anthony_Phelps;16675;https://ht.wikipedia.org/wiki/Anthony_Phelps;13349
169_AU;Pierre Claude C.;Pierre;Claude C.;m;;pierre_claude;28/02/1941;1941;Corail, Grand'Anse;Haïti;24/06/2017;2017;Canada;Canada;Haïti;Canada;canado-haïtienne;poète;;;Français;;;Q2977119;0000 0000 7363 1189;66592624;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Claude_C._Pierre;3999;https://ht.wikipedia.org/wiki/Claude_Pierre;2772
170_AU;Pierre-Dahomey Néhémy;Pierre-Dahomey;Néhémy;m;;pierre-dahomey;;1986;Port-au-Prince;Haïti;;;;;Haïti;France;franco-haïtienne;écrivain;;;Français;;;Q55217188;0000 0004 5949 2249;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
171_AU;Poujol Oriol Paulette;Poujol Oriol;Paulette;f;;poujol-oriol;12/05/1926;1926;Port-au-Prince;Haïti;11/03/2011;2011;;;Haïti;;haïtienne;acteur;romancier;écrivain;Français;;;Q12895266;0000 0000 3286 5675;21358336;#N/A;https://en.wikipedia.org/wiki/Paulette_Poujol-Oriol;8460;#N/A;#N/A;https://ht.wikipedia.org/wiki/Paulette_Poujol_Oriol;1566
172_AU;Prophète Emmelie;Prophète;Emmelie;f;;prophete_emmelie;15/06/1971;1971;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;journaliste;poète;écrivain;Français;;;Q3053007;0000 0001 2131 5552;47904412;#N/A;https://en.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;2360;https://fr.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;4337;https://ht.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;2597
173_AU;Régis Guy;Régis;Guy;m;;regis;01/01/1974;1974;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;écrivain;réalisateur;dramaturge;Français;;;Q2396474;0000 0001 2207 5263;170304147;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;15312;https://ht.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;2706
174_AU;Renaud Alix;Renaud;Alix;m;;renaud;30/08/1945;1945;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;journaliste;poète;écrivain;Français;;;Q2837289;0000 0001 0899 0297;49327117;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Alix_Renaud;13126;https://ht.wikipedia.org/wiki/Alix_Renaud;3952
175_AU;Rey Charlier Jacques;Rey Charlier;Jacques;m;;charlier_jacques;04/05/1945;1945;;;;;;;Haïti;;haïtienne;écrivain;;;Français;;;Q79392504;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
176_AU;Rigaud Apollon Marlène;Rigaud Apollon;Marlène;f;marlene-rigaud-apollon.32103;apollon;01/01/1945;1945;Cap-Haïtien;Haïti;;;;;Haïti;;haïtienne;poète;écrivain;;Français;;;Q12894134;0000 0000 4251 8351;4204233;#N/A;https://en.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;2713;#N/A;#N/A;https://ht.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;1369
177_WIKI;Jacques Roche;Roche;Jacques;m;;;01/01/1961;1961;Cavaellon;Haïti;14/07/2005;2005;Haïti;Haïti;Haïti;;haïtienne;journaliste;poète;;Français;;;Q3159899;0000 0000 8075 3125;122368037;#N/A;https://en.wikipedia.org/wiki/Jacques_Roche;9959;https://fr.wikipedia.org/wiki/Jacques_Roche;2539;https://ht.wikipedia.org/wiki/Jacques_Roche;801
178_WIKI;Roger Gaillard;Roger;Gaillard;m;;gaillard;10/04/1923;1923;Port-au-Prince;Haïti;25/05/2000;2000;;;Haïti;;haïtienne;universitaire;écrivain;;Français;;;Q3438996;0000 0000 2268 693X;27074457;#N/A;https://en.wikipedia.org/wiki/Roger_Gaillard_(historian);1850;https://fr.wikipedia.org/wiki/Roger_Gaillard_(historien_ha%C3%AFtien);3191;https://ht.wikipedia.org/wiki/Roger_Gaillard;1624
179_AU;Saint-Éloi Rodney;Saint-Éloi;Rodney;m;;saint-eloi;27/08/1963;1963;Cavaellon;Haïti;;;;;Haïti;;haïtienne;écrivain;poète;essayiste;Français;;;Q3438235;0000 0001 2101 5701;56783467;#N/A;https://en.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;2505;https://fr.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;6059;https://ht.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;1185
180_AU;Saint-Louis Mentor Ulysse ;Saint-Louis Mentor;Ulysse ;m;ulysse-saint-louis-mentor.52497;;;;;;;;;;Haïti;Canada;canado-haïtienne;universitaire;;;Français;;;;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
181_AU;Sandino  Alexandre Fednel;Sandino ;Alexandre Fednel;m;;;;1978;;;;;;;Haïti;;haïtienne;écrivain;;;Français;;;;0000 0000 4393 7304;46304109;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
182_AU;Scott-Lemoine Jacqueline;Scott-Lemoine;Jacqueline;f;;scott;28/10/1923;1923;Port-au-Prince;Haïti;09/07/2011;2011;Dakar;Sénégal;Haïti;Sénégal;sénégalo-haïtienne;acteur;écrivain;;Français;;;Q26252340;0000 0000 4303 2759;19931184;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;7059;https://ht.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;805
183_AU;Suprice Lenous Guillaume;Suprice;Lenous Guillaume;m;;suprice;;;Fond des Blancs;Haïti;;;;;Haïti;Canada;canado-haïtienne;poète;écrivain;;Créole;Français;;Q55217215;;;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
184_AU;Suréna Elsie;Suréna;Elsie;f;;surena;01/01/1956;1956;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;photographe;poète;;Français;;;Q12890326;0000 0001 1497 7646;122176630;#N/A;https://en.wikipedia.org/wiki/Elsie_Sur%C3%A9na;3380;#N/A;#N/A;https://ht.wikipedia.org/wiki/Elsie_Surena;1367
185_AU;Tavernier Janine;Tavernier;Janine;f;;tavernier;23/03/1935;1935;Port-au-Prince;Haïti;27/02/2019;2019;Tampa;États-Unis;Haïti;États-Unis;américano-haïtienne;romancier;poète;universitaire;Français;;;Q3162015;0000 0000 7363 2739;71514411;#N/A;#N/A;#N/A;https://fr.wikipedia.org/wiki/Janine_Tavernier;4916;#N/A;#N/A
186_AU;Théard Marie-Alice;Théard;Marie-Alice;f;;theard;03/08/1948;1948;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;romancier;poète;écrivain;Français;;;Q12894088;0000 0000 3749 9854;14109213;#N/A;https://en.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;2493;#N/A;#N/A;https://ht.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;1206
187_AU;Trouillot Évelyne;Trouillot;Évelyne;f;;trouillot_evelyne;02/01/1954;1954;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;dramaturge;écrivain;poète;Français;;;Q12890535;0000 0001 1461 5119;59220009;#N/A;https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot;4853;https://fr.wikipedia.org/wiki/%C3%89velyne_Trouillot;5739;https://ht.wikipedia.org/wiki/%C3%89velyne_Trouillot;2448
188_AU;Trouillot Lyonel;Trouillot;Lyonel;m;;trouillot_lyonel;31/12/1956;1956;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;journaliste;poète;écrivain;Français;;;Q637689;0000 0003 8321 3791;267680342;#N/A;https://en.wikipedia.org/wiki/Lyonel_Trouillot;6134;https://fr.wikipedia.org/wiki/Lyonel_Trouillot;10179;https://ht.wikipedia.org/wiki/Lyonel_Trouillot;7938
189_AU;Victor Gary;Victor;Gary;m;;victor_gary;09/07/1958;1958;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;journaliste;dramaturge;scénariste;Français;;;Q3098632;0000 0001 0866 2517;6109517;#N/A;https://en.wikipedia.org/wiki/Gary_Victor;3821;https://fr.wikipedia.org/wiki/Gary_Victor;8831;https://ht.wikipedia.org/wiki/Gary_Victor;5718
190_AU;Voltaire Marcelin Michèle;Voltaire Marcelin;Michèle;f;;voltaire-marcelin;01/01/1955;1955;Port-au-Prince;Haïti;;;;;Haïti;;haïtienne;écrivain;;;Français;;;Q18461233;0000 0001 1454 3637;106569746;#N/A;#N/A;#N/A;#N/A;#N/A;https://ht.wikipedia.org/wiki/Mich%C3%A8le_Voltaire-Marcelin;895
