orig;type_;langue;collectif;
mises en scène  théâtre et spectacles;theatre;;FAUX;
sur la pacotille;autour de l'�uvre / de l'auteur;;FAUX;
photographie de gérald bloncourt (illustrations);photographie;;FAUX;
sur l’oeuvre de jacques rey charlier;autour de l'�uvre / de l'auteur;;FAUX;
an kreyòl;creole;;FAUX;
sur l’oeuvre de jan j. dominique;autour de l'�uvre / de l'auteur;;FAUX;
contes;contes;;FAUX;
représentations théâtrales au théâtre daniel sorano à dakar;theatre;;FAUX;
anthologies et ouvrages littéraires;autour de l'�uvre / de l'auteur;;FAUX;
sélection de textes critiques publiés par saint-john kauss;autour de l'�uvre / de l'auteur;;FAUX;
liens;texte en lignes;;FAUX;
anthologie dirigée par jean-euphèle milcé;autour de l'�uvre / de l'auteur;;FAUX;
roman pour la jeunesse;roman;;FAUX;
sur l’oeuvre de rassoul labuchin;autour de l'�uvre / de l'auteur;;FAUX;
collaboration à divers journaux et revues;revues;;FAUX;
in serbo;;;FAUX;
pamphlet;essais/articles;;FAUX;
encres de davertige / villard denis;;;FAUX;
séléction de poésie publiée dans des ouvrages collectifs;poesie;;FAUX;
sur île en île et à cuny;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de jean-max calvin;autour de l'�uvre / de l'auteur;;FAUX;
poésie d’anthony phelps enregistrée par d’autres personnes;autour de l'�uvre / de l'auteur;;FAUX;
hommages à jean-claude charles (2008);autour de l'�uvre / de l'auteur;;FAUX;
poésie en français;poesie;fran�ais;FAUX;
albums de coloriage;jeunesse;;FAUX;
participation à des jurys;participation jury;;FAUX;
poésie sélectionnée parue dans des ouvrages collectifs;poesie;;VRAI;
entretien avec roland paret et textes de l’auteur sur île en île;entretiens;;FAUX;
poésie et essais publiés dans des ouvrages collectifs (sélection);autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre d’évelyne trouillot;autour de l'�uvre / de l'auteur;;FAUX;
traduction par myriam j.a. chancy;traductions;;FAUX;
textes de margaret papillon ailleurs sur le web;texte en lignes;;FAUX;
poésie publiée dans des ouvrages collectifs;poesie;;VRAI;
sur l’oeuvre de marie-thérèse colimon-hall;autour de l'�uvre / de l'auteur;;FAUX;
sur massillon coicou;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de fabienne pasquet;autour de l'�uvre / de l'auteur;;FAUX;
volume vi (1979);autour de l'�uvre / de l'auteur;;FAUX;
collections;autour de l'�uvre / de l'auteur;;FAUX;
poésie (en créole);poesie;creole;FAUX;
sur l’oeuvre de jean-euphèle milcé;autour de l'�uvre / de l'auteur;;FAUX;
sur philippe thoby-marcelin;autour de l'�uvre / de l'auteur;;FAUX;
sur rené bélance;autour de l'�uvre / de l'auteur;;FAUX;
théâtre en créole;theatre;creole;FAUX;
dans boutures et sur île en île;texte en lignes;;FAUX;
articles critiques sélectionnés (littérature);essais/articles;;FAUX;
essais et conférences;essais/articles;;FAUX;
nouvelles, textes courts;nouvelles;;FAUX;
sur scène, sur l’écran (sélections);theatre;;FAUX;
sur l’oeuvre de mimi barthélémy;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de joël des rosiers;autour de l'�uvre / de l'auteur;;FAUX;
distinctions, invitations et interventions publiques;distinctions;;FAUX;
sur l’oeuvre de yanick lahens;autour de l'�uvre / de l'auteur;;FAUX;
prix et distinctions littéraires et au cinéma;distinctions;;FAUX;
livres, articles;;;FAUX;
sur youtube;video web;;FAUX;
